# A0 resolution/history convergence sweep — see
# docs/a0_transport_resolution_decision.md for the decision and
# data/parameter_provenance.csv for what these rows are allowed to
# rank (sensitivity_domain = transport_numerical only).
#
# Geometry, materials and spectrum are HELD FIXED throughout; only
# the tally resolution and the history count move. Per source
# particle: no source activity is involved.
#
# zero_score_fraction_roi counts bins INSIDE the cylinder only —
# the mesh spans the circumscribing cube, so ~21.5% of bins are
# void by construction and must score zero.
# field_diff_vs_reference aggregates the reference's DEPOSITED
# ENERGY onto each grid before comparing; it is not a mean of
# per-bin dose.
# peak_child_rss_kb_cumulative is a running high-water mark across
# all child processes, so only the largest value is meaningful.
coarsening_factor,mesh_nx,mesh_ny,mesh_nz,bin_volume_cm3,batches,particles,histories,seed,roi_bins,total_heating_eV_per_src,absorbed_fraction,zero_score_fraction_roi,heating_floor_eV,bins_above_floor,median_rel_err,p90_rel_err,max_rel_err,mass_weighted_mean_dose_Gy_per_src,total_mass_kg,field_diff_vs_reference,resolution_loss_vs_reference,runtime_s,histories_per_s,statepoint_bytes,peak_child_rss_kb_cumulative
4,12,12,12,15.625,5,50000,250000,3,1344,309985.4287583126,0.4685000925834651,0.0,0.0,1344,0.08580241934852159,0.16128090459030825,0.44048421465314075,2.3417523645654507e-15,27.0,0.04556213358419157,0.31357355549904775,0.324,772785,50088,186948
4,12,12,12,15.625,5,50000,250000,4,1344,310659.15232880926,0.4695183325582203,0.0,0.0,1344,0.08477588442740258,0.1574348153398861,0.3709316078915064,2.345424731538735e-15,27.0,0.0469831983320528,0.31448701871251056,0.29,862712,50088,186948
4,12,12,12,15.625,5,50000,250000,5,1344,310847.16074688645,0.4698024812733017,0.0,0.0,1344,0.0854056799263854,0.15389529596422757,0.325164951408063,2.3479122804678863e-15,27.0,0.04440149060745114,0.31440572803152067,0.304,823477,50088,186948
4,12,12,12,15.625,20,50000,1000000,1,1344,310647.9972181546,0.4695014731516494,0.0,0.0,1344,0.046954309401600225,0.07651668153496574,0.12859354597067088,2.3461399784299797e-15,27.0,0.022314121640463654,0.3082620090589265,0.676,1480086,50088,186948
4,12,12,12,15.625,20,50000,1000000,2,1344,311027.9491646274,0.47007571795668046,0.0,0.0,1344,0.04746302885906888,0.07456021777167565,0.12135950042743175,2.349069603453622e-15,27.0,0.022956441431812347,0.30892530206153745,0.781,1280806,50088,186948
4,12,12,12,15.625,20,50000,1000000,3,1344,310696.8677688905,0.46957533422839776,0.0,0.0,1344,0.047063563477566475,0.07274949833388088,0.12265466872016177,2.3467037441876016e-15,27.0,0.023191972502091995,0.30790204459423126,0.73,1368945,50088,186948
4,12,12,12,15.625,20,50000,1000000,4,1344,310599.83706023084,0.46942868573536184,0.0,0.0,1344,0.04686695844698775,0.07359320876311579,0.14206933656102813,2.345440122323282e-15,27.0,0.02232237537914952,0.30837530734953433,0.767,1304454,50088,186948
4,12,12,12,15.625,20,50000,1000000,5,1344,310961.0495755915,0.46997460848265565,0.0,0.0,1344,0.04708290748597746,0.0730305062304133,0.1399912264646806,2.3484766934455244e-15,27.0,0.02241866179694978,0.30854875754341315,0.658,1519702,50088,186948
4,12,12,12,15.625,80,50000,4000000,1,1344,310579.70192519133,0.4693982542642183,0.0,0.0,1344,0.02417922182616869,0.03647394887896044,0.056232277217835615,2.345672946168831e-15,27.0,0.011967885485461004,0.30635974816758305,2.448,1634250,50088,186948
4,12,12,12,15.625,80,50000,4000000,2,1344,310876.92232968926,0.46984746178852915,0.0,0.0,1344,0.024259158823497214,0.036176690895656394,0.05266387219102113,2.3479115880778142e-15,27.0,0.01158577908979066,0.3067212916222168,2.343,1707414,50088,186948
4,12,12,12,15.625,80,50000,4000000,3,1344,310745.78054157423,0.46964925911777927,0.0,0.0,1344,0.024336203334664346,0.03661198991192966,0.051797806261649953,2.346924439487629e-15,27.0,0.011414971899486726,0.30664067896497926,2.301,1738357,50088,186948
4,12,12,12,15.625,80,50000,4000000,4,1344,310700.07349322125,0.4695801792372479,0.0,0.0,1344,0.024397322485280745,0.03671986688072372,0.05289461328438805,2.3463662587282416e-15,27.0,0.010935981115019465,0.3066427047426506,2.535,1577611,50088,186948
4,12,12,12,15.625,80,50000,4000000,5,1344,310842.88762083196,0.4697960230344091,0.0,0.0,1344,0.024211500100576627,0.036092718366837626,0.05304995860204303,2.3476241492396005e-15,27.0,0.011990577940192159,0.3067098814586908,2.25,1777617,50088,186948
4,12,12,12,15.625,320,50000,16000000,1,1344,310743.9906071134,0.4696465538794589,0.0,0.0,1344,0.012155516170860269,0.018084538510493003,0.02503736202304192,2.3468619773450903e-15,27.0,0.0063108243709400075,0.3061314697101457,8.905,1796744,50088,186948
4,12,12,12,15.625,320,50000,16000000,2,1344,310772.0679551595,0.4696889889068465,0.0,0.0,1344,0.012168656229423494,0.017880801713568928,0.025390376537233073,2.3471132034698554e-15,27.0,0.006373629484876935,0.3063160925583493,9.312,1718199,50088,186948
4,12,12,12,15.625,320,50000,16000000,3,1344,310826.74786655273,0.46977163002856887,0.0,0.0,1344,0.012226191997917957,0.01792512546298375,0.0247448207260034,2.347555196568543e-15,27.0,0.00678822609941366,0.306269925214102,9.205,1738213,50088,186948
4,12,12,12,15.625,320,50000,16000000,4,1344,310754.62360792805,0.46966262418923466,0.0,0.0,1344,0.012221787861000834,0.018211003766679883,0.02499757880763458,2.347015421576601e-15,27.0,0.006283076596060824,0.30627879166184346,8.948,1788140,50088,186948
