# openmc_debiased_effects — THE GATE INPUT. One row per
# (scenario, mesh_factor, outer_draw); there is deliberately no
# replicate column, because the U-statistic runs over ordered
# replicate PAIRS r != s and consumes that dimension.
#
# s_hat estimates ||E[d]||^2_W with no noise term, because for
# independent replicates E[d_r^T W d_s] = E[d_r]^T W E[d_s].
# IT MAY BE NEGATIVE, and that is the point: an unbiased
# estimate of a non-negative quantity must fall below zero
# about half the time when the true effect is zero. A negative
# row is evidence of no effect, never a defect.
#
# e_squared = s_hat / (debiased ||D0||^2_W) and is compared
# against delta^2. Do NOT take its square root before gating:
# a root near zero reintroduces the positive bias this exists
# to remove.
# jackknife_var is the delete-one-replicate variance OF THE
# RATIO, since the ratio is what the gate consumes.
#
# provenance: git_commit=9987a75a6a2451661bd4c583344ad6ff414b29c9-dirty
#   (names the PARENT commit; an artifact cannot name the commit that contains it)
# provenance: openmc_version=0.15.3
# provenance: nuclear_data=endfb-viii.0-hdf5/cross_sections.xml sha256=200cc6b97aa8cacc (endfb-viii.0-hdf5.tar.xz.sha256)
# provenance: particles=5000 batches=20 replicates=3 outer_draws=4
# provenance: mesh_factors=1,2,4,5 volume_samples=500000
# provenance: threshold_policy_id=synthetic_gate_contract_v1 metric_id=debiased_relative_l2_squared
# provenance: snapshot=snap.h5 config=reference_synthetic_biofilm_e2e.toml
# provenance: argv=--snapshot /tmp/claude-1000/-home-aurascoper-Developer-Biofilms/e77a47ab-b7f6-4c9e-b2f8-752fd9a9a76e/scratchpad/snap.h5 --config config/reference_synthetic_biofilm_e2e.toml --outdir artifacts/pilot --levers --include-near-threshold --publish --budget-seconds 2400
scenario,mesh_factor,outer_draw,density_g_cm3,paired_seeds,omega_b_bins,s_hat,denominator,e_squared,n_replicates,jackknife_var,metric_id
lever_Fe_5pct_unpaired,2,3,1.0770802561698172,False,215,5.610158405370444e-31,1.9260169107586014e-27,0.00029128292560841367,3,1.5208503008575023e-07,debiased_relative_l2_squared
lever_Gd_5pct,2,0,1.0538425200611092,True,215,4.5365460533674764e-30,1.9169445046919577e-27,0.002366550540333182,3,2.2671736948835745e-10,debiased_relative_l2_squared
lever_Gd_5pct,2,1,1.0513908517888564,True,215,4.4544304753791774e-30,1.8541409303666294e-27,0.002402422816100812,3,2.619485388102337e-09,debiased_relative_l2_squared
lever_Gd_5pct,2,2,1.0783664227045724,True,215,4.685442422137357e-30,1.901545555963215e-27,0.002464017970773242,3,4.008782149975432e-09,debiased_relative_l2_squared
lever_Gd_5pct,2,3,1.0770802561698172,True,215,4.6288832693682024e-30,1.926016910758601e-27,0.0024033450815055526,3,5.202643433267619e-09,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,2,0,1.0538425200611092,False,215,4.019540633923062e-30,1.9169445046919577e-27,0.002096847678211206,3,3.072360726380899e-07,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,2,1,1.0513908517888564,False,215,5.206409164085294e-30,1.854140930366629e-27,0.0028079899854515393,3,4.985139805513658e-09,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,2,2,1.0783664227045724,False,215,6.084036659017309e-30,1.9015455559632147e-27,0.0031995219046621697,3,1.6647812431488605e-07,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,2,3,1.0770802561698172,False,215,3.659492241856258e-30,1.9260169107586014e-27,0.001900031210221769,3,1.1291751196796438e-07,debiased_relative_l2_squared
lever_dehydration_H_0.06,2,0,1.0538425200611092,True,215,4.442246053155257e-30,1.916944504691958e-27,0.0023173576711700895,3,2.3946433835311605e-09,debiased_relative_l2_squared
lever_dehydration_H_0.06,2,1,1.0513908517888564,True,215,3.534111728289655e-30,1.854140930366629e-27,0.0019060642426953146,3,2.4922168271582594e-10,debiased_relative_l2_squared
lever_dehydration_H_0.06,2,2,1.0783664227045724,True,215,4.024420979204762e-30,1.9015455559632143e-27,0.0021163947224846894,3,8.460452280224204e-09,debiased_relative_l2_squared
lever_dehydration_H_0.06,2,3,1.0770802561698172,True,215,3.884515380418433e-30,1.926016910758601e-27,0.002016864628093238,3,1.7349852382847625e-09,debiased_relative_l2_squared
lever_dehydration_H_0.06_unpaired,2,0,1.0538425200611092,False,215,5.750520361004557e-30,1.9169445046919585e-27,0.0029998366394694514,3,1.6108977232567975e-06,debiased_relative_l2_squared
lever_dehydration_H_0.06_unpaired,2,1,1.0513908517888564,False,215,2.9704610574816548e-30,1.854140930366629e-27,0.0016020686501399277,3,3.4296605889918784e-08,debiased_relative_l2_squared
lever_dehydration_H_0.06_unpaired,2,2,1.0783664227045724,False,215,2.7539023105560233e-30,1.901545555963215e-27,0.0014482441937401036,3,1.1425366133673868e-09,debiased_relative_l2_squared
lever_dehydration_H_0.06_unpaired,2,3,1.0770802561698172,False,215,6.646005076137751e-30,1.926016910758601e-27,0.0034506473120841322,3,7.696522474901215e-07,debiased_relative_l2_squared
near_threshold,2,0,1.0538425200611092,True,215,4.303948687988658e-29,1.9169445046919577e-27,0.022452129821464384,3,1.296505489159684e-08,debiased_relative_l2_squared
near_threshold,2,1,1.0513908517888564,True,215,4.198825567557192e-29,1.854140930366629e-27,0.022645665703129352,3,3.890574569726622e-08,debiased_relative_l2_squared
near_threshold,2,2,1.0783664227045724,True,215,4.379441513152699e-29,1.901545555963215e-27,0.023030957630327833,3,1.304871556498517e-07,debiased_relative_l2_squared
near_threshold,2,3,1.0770802561698172,True,215,4.353932662774855e-29,1.926016910758601e-27,0.022605890106437175,3,3.271793907239062e-07,debiased_relative_l2_squared
noise_floor,4,0,1.0538425200611092,False,23,-9.666247805615925e-32,1.0061194259114927e-27,-9.607455692308892e-05,3,6.567203805174608e-08,debiased_relative_l2_squared
