# melanin ensemble sweep
# N=40 parcels_per_species=6 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
47,300,6,S. oneidensis,0.0000,700,6,0.398649
47,300,7,O. intermedium AM7,0.0000,697,6,0.489068
47,400,1,C. neoformans,0.1000,699,6,2.062525
47,400,2,D. radiodurans,0.0000,701,6,0.866207
47,400,3,C. sphaerospermum,0.1400,699,6,2.418895
47,400,4,B. subtilis,0.0000,697,6,0.520289
47,400,5,A. niger,0.0650,701,6,2.469088
47,400,6,S. oneidensis,0.0000,698,6,0.532859
47,400,7,O. intermedium AM7,0.0000,696,6,0.674660
48,0,1,C. neoformans,0.1000,378,6,0.000000
48,0,2,D. radiodurans,0.0000,378,6,0.000000
48,0,3,C. sphaerospermum,0.1400,462,6,0.000000
48,0,4,B. subtilis,0.0000,468,6,0.000000
48,0,5,A. niger,0.0650,464,6,0.000000
48,0,6,S. oneidensis,0.0000,361,6,0.000000
48,0,7,O. intermedium AM7,0.0000,320,6,0.000000
48,100,1,C. neoformans,0.1000,699,6,1.386955
48,100,2,D. radiodurans,0.0000,702,6,0.438262
48,100,3,C. sphaerospermum,0.1400,705,6,2.187296
48,100,4,B. subtilis,0.0000,698,6,0.237631
48,100,5,A. niger,0.0650,700,6,0.784792
48,100,6,S. oneidensis,0.0000,699,6,0.135891
48,100,7,O. intermedium AM7,0.0000,696,6,0.310574
48,200,1,C. neoformans,0.1000,700,6,2.065428
48,200,2,D. radiodurans,0.0000,701,6,0.860271
48,200,3,C. sphaerospermum,0.1400,705,6,3.483705
48,200,4,B. subtilis,0.0000,699,6,0.560147
48,200,5,A. niger,0.0650,697,6,1.348195
48,200,6,S. oneidensis,0.0000,700,6,0.337694
48,200,7,O. intermedium AM7,0.0000,697,6,0.727313
48,300,1,C. neoformans,0.1000,699,6,2.630394
48,300,2,D. radiodurans,0.0000,700,6,1.261754
48,300,3,C. sphaerospermum,0.1400,705,6,4.530587
48,300,4,B. subtilis,0.0000,696,6,0.797383
48,300,5,A. niger,0.0650,697,6,1.799126
48,300,6,S. oneidensis,0.0000,698,6,0.528346
48,300,7,O. intermedium AM7,0.0000,701,6,1.064685
48,400,1,C. neoformans,0.1000,700,6,3.044838
48,400,2,D. radiodurans,0.0000,699,6,1.579280
48,400,3,C. sphaerospermum,0.1400,703,6,5.296780
48,400,4,B. subtilis,0.0000,696,6,1.025957
48,400,5,A. niger,0.0650,698,6,2.161325
48,400,6,S. oneidensis,0.0000,697,6,0.728941
48,400,7,O. intermedium AM7,0.0000,700,6,1.341668
49,0,1,C. neoformans,0.1000,558,6,0.000000
49,0,2,D. radiodurans,0.0000,556,6,0.000000
49,0,3,C. sphaerospermum,0.1400,517,6,0.000000
49,0,4,B. subtilis,0.0000,407,6,0.000000
49,0,5,A. niger,0.0650,407,6,0.000000
49,0,6,S. oneidensis,0.0000,550,6,0.000000
49,0,7,O. intermedium AM7,0.0000,622,6,0.000000
49,100,1,C. neoformans,0.1000,698,6,1.295560
49,100,2,D. radiodurans,0.0000,700,6,0.236555
49,100,3,C. sphaerospermum,0.1400,702,6,1.737221
49,100,4,B. subtilis,0.0000,696,6,0.272203
49,100,5,A. niger,0.0650,703,6,0.912112
49,100,6,S. oneidensis,0.0000,695,6,0.221135
49,100,7,O. intermedium AM7,0.0000,696,6,0.212222
49,200,1,C. neoformans,0.1000,696,6,1.823604
49,200,2,D. radiodurans,0.0000,700,6,0.469044
49,200,3,C. sphaerospermum,0.1400,703,6,2.574268
49,200,4,B. subtilis,0.0000,696,6,0.592729
49,200,5,A. niger,0.0650,700,6,1.474819
49,200,6,S. oneidensis,0.0000,696,6,0.454271
49,200,7,O. intermedium AM7,0.0000,695,6,0.484167
49,300,1,C. neoformans,0.1000,698,6,2.203079
49,300,2,D. radiodurans,0.0000,698,6,0.658835
49,300,3,C. sphaerospermum,0.1400,701,6,3.203043
49,300,4,B. subtilis,0.0000,695,6,0.867492
49,300,5,A. niger,0.0650,701,6,1.883187
49,300,6,S. oneidensis,0.0000,695,6,0.641954
49,300,7,O. intermedium AM7,0.0000,694,6,0.688239
49,400,1,C. neoformans,0.1000,698,6,2.572356
49,400,2,D. radiodurans,0.0000,701,6,0.839716
49,400,3,C. sphaerospermum,0.1400,704,6,3.747335
49,400,4,B. subtilis,0.0000,696,6,1.072106
49,400,5,A. niger,0.0650,701,6,2.139404
49,400,6,S. oneidensis,0.0000,694,6,0.775197
49,400,7,O. intermedium AM7,0.0000,696,6,0.885939
50,0,1,C. neoformans,0.1000,288,6,0.000000
50,0,2,D. radiodurans,0.0000,458,6,0.000000
50,0,3,C. sphaerospermum,0.1400,645,6,0.000000
50,0,4,B. subtilis,0.0000,506,6,0.000000
50,0,5,A. niger,0.0650,451,6,0.000000
50,0,6,S. oneidensis,0.0000,372,6,0.000000
50,0,7,O. intermedium AM7,0.0000,506,6,0.000000
50,100,1,C. neoformans,0.1000,700,6,1.166557
50,100,2,D. radiodurans,0.0000,704,6,0.357215
50,100,3,C. sphaerospermum,0.1400,702,6,1.586702
50,100,4,B. subtilis,0.0000,698,6,0.212622
50,100,5,A. niger,0.0650,701,6,0.900515
50,100,6,S. oneidensis,0.0000,697,6,0.137783
50,100,7,O. intermedium AM7,0.0000,700,6,0.164530
50,200,1,C. neoformans,0.1000,704,6,2.003324
50,200,2,D. radiodurans,0.0000,703,6,0.733022
50,200,3,C. sphaerospermum,0.1400,703,6,2.253640
50,200,4,B. subtilis,0.0000,699,6,0.506097
50,200,5,A. niger,0.0650,700,6,1.409525
50,200,6,S. oneidensis,0.0000,698,6,0.337961
50,200,7,O. intermedium AM7,0.0000,699,6,0.372673
50,300,1,C. neoformans,0.1000,704,6,2.661209
50,300,2,D. radiodurans,0.0000,702,6,1.062439
