# melanin ensemble sweep
# N=20 parcels_per_species=2 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
51,300,3,C. sphaerospermum,0.1400,236,2,4.084438
51,300,4,B. subtilis,0.0000,236,2,1.117258
51,300,5,A. niger,0.0650,234,2,3.307621
51,300,6,S. oneidensis,0.0000,234,2,1.332768
51,300,7,O. intermedium AM7,0.0000,233,2,1.552535
51,400,1,C. neoformans,0.1000,233,2,2.831599
51,400,2,D. radiodurans,0.0000,235,2,1.809944
51,400,3,C. sphaerospermum,0.1400,235,2,4.536290
51,400,4,B. subtilis,0.0000,234,2,1.404896
51,400,5,A. niger,0.0650,233,2,3.912884
51,400,6,S. oneidensis,0.0000,234,2,1.588898
51,400,7,O. intermedium AM7,0.0000,233,2,1.846608
52,0,1,C. neoformans,0.1000,66,2,0.000000
52,0,2,D. radiodurans,0.0000,156,2,0.000000
52,0,3,C. sphaerospermum,0.1400,54,2,0.000000
52,0,4,B. subtilis,0.0000,204,2,0.000000
52,0,5,A. niger,0.0650,91,2,0.000000
52,0,6,S. oneidensis,0.0000,128,2,0.000000
52,0,7,O. intermedium AM7,0.0000,58,2,0.000000
52,100,1,C. neoformans,0.1000,236,2,1.935294
52,100,2,D. radiodurans,0.0000,235,2,0.622233
52,100,3,C. sphaerospermum,0.1400,234,2,2.140916
52,100,4,B. subtilis,0.0000,234,2,0.292424
52,100,5,A. niger,0.0650,235,2,1.289419
52,100,6,S. oneidensis,0.0000,234,2,0.248952
52,100,7,O. intermedium AM7,0.0000,234,2,0.406561
52,200,1,C. neoformans,0.1000,235,2,3.124551
52,200,2,D. radiodurans,0.0000,235,2,1.371176
52,200,3,C. sphaerospermum,0.1400,235,2,3.112891
52,200,4,B. subtilis,0.0000,235,2,0.711908
52,200,5,A. niger,0.0650,236,2,2.084239
52,200,6,S. oneidensis,0.0000,235,2,0.607871
52,200,7,O. intermedium AM7,0.0000,235,2,0.795408
52,300,1,C. neoformans,0.1000,236,2,3.730869
52,300,2,D. radiodurans,0.0000,234,2,1.914473
52,300,3,C. sphaerospermum,0.1400,235,2,3.685608
52,300,4,B. subtilis,0.0000,234,2,1.059428
